START_OF_15MIN_EET,RES_LIMIT,AVAILABLE_GENERATION
06-07-24 11:45,1650,1666
06-07-24 12:00,1650,1644
06-07-24 12:15,1650,1656
06-07-24 12:30,1650,1663
06-07-24 12:45,1774,1712
06-07-24 13:00,1850,1842
06-07-24 13:15,1850,1853
06-07-24 13:30,1850,1844
06-07-24 13:45,1850,1846
06-07-24 14:00,1850,1840
06-07-24 14:15,1850,1857
06-07-24 14:30,1850,1863
06-07-24 14:45,1850,1839
06-07-24 15:00,1850,1864
06-07-24 15:15,1903,1878
06-07-24 15:30,2001,1976
06-07-24 15:45,2214,2141
06-07-24 16:00,2326,2271
06-07-24 16:15,2350,2278
06-07-24 16:30,3693,2300
06-07-24 16:45,7364,1106
07-07-24 8:45,5749,1132
07-07-24 9:00,2065,2078
07-07-24 9:15,1863,1890
07-07-24 9:30,1811,1806
07-07-24 9:45,1567,1570
07-07-24 10:00,1463,1455
07-07-24 10:15,1463,1455
07-07-24 10:30,1463,1478
07-07-24 10:45,1481,1447
07-07-24 11:00,1616,1537
07-07-24 11:15,1663,1647
07-07-24 11:30,1663,1660
07-07-24 11:45,1663,1621
07-07-24 12:00,1663,1656
07-07-24 12:15,1663,1661
07-07-24 12:30,1787,1697
07-07-24 12:45,1763,1763
07-07-24 13:00,1891,1824
07-07-24 13:15,2053,1972
07-07-24 13:30,2063,2021
07-07-24 13:45,2130,2037
07-07-24 14:00,2163,2133
07-07-24 14:15,1930,1983
07-07-24 14:30,1706,1703
07-07-24 14:45,1663,1659
07-07-24 15:00,1663,1663
07-07-24 15:15,1663,1651
07-07-24 15:30,1701,1637
07-07-24 15:45,1763,1741
07-07-24 16:00,1647,1692
07-07-24 16:15,1644,1598
07-07-24 16:30,1884,1765
07-07-24 16:45,2035,1938
07-07-24 17:00,2256,2012
07-07-24 17:15,2458,2280
07-07-24 17:30,8342,2281
14-07-24 11:15,8084,849
28-07-24 9:30,3409,1999
28-07-24 9:45,2000,1992
28-07-24 10:00,2000,1983
28-07-24 10:15,2000,1977
28-07-24 10:30,1925,1955
28-07-24 10:45,1800,1812
28-07-24 11:00,1718,1723
28-07-24 11:15,1484,1532
28-07-24 11:30,1400,1379
28-07-24 11:45,1400,1356
28-07-24 12:00,1400,1367
28-07-24 12:15,1400,1404
28-07-24 12:30,1400,1372
28-07-24 12:45,1400,1393
28-07-24 13:00,1541,1292
28-07-24 13:15,1600,1572
28-07-24 13:30,1617,1601
28-07-24 13:45,1700,1680
28-07-24 14:00,1700,1660
28-07-24 14:15,1700,1685
28-07-24 14:30,1700,1701
28-07-24 14:45,1700,1396
28-07-24 15:00,1736,1634
28-07-24 15:15,1980,1823
28-07-24 15:30,2106,1972
28-07-24 15:45,2200,2070
28-07-24 16:00,2200,2142
28-07-24 16:15,4577,1995
10-08-24 11:45,3299,1604
10-08-24 12:00,1913,1902
10-08-24 12:15,1932,1857
10-08-24 12:30,2020,1943
10-08-24 12:45,4592,1841
11-08-24 9:15,8911,189
11-08-24 9:30,2300,2357
11-08-24 9:45,2093,2213
11-08-24 10:00,1800,1896
11-08-24 10:15,1796,1824
11-08-24 10:30,1500,1549
11-08-24 10:45,1500,1534
11-08-24 11:00,1292,1393
11-08-24 11:15,1200,1209
11-08-24 11:30,1200,1146
11-08-24 11:45,1200,1183
11-08-24 12:00,1200,1247
11-08-24 12:15,1252,1160
11-08-24 12:30,1753,1594
11-08-24 12:45,1827,1779
11-08-24 13:00,2000,1948
11-08-24 13:15,2000,1991
11-08-24 13:30,2064,1959
11-08-24 13:45,2300,2196
